row_type,key_info,row_number,column_name,table1_value,table2_value
different_data,id=1,1,salary,15000.00,16000.00
only_in_table1,id=2,2,hire_date,2020-07-01,
only_in_table1,id=2,2,department,销售部,
only_in_table1,id=2,2,id,2,
only_in_table1,id=2,2,email,lisi@company.com,
only_in_table1,id=2,2,salary,12000.00,
only_in_table1,id=2,2,is_active,1,
only_in_table1,id=2,2,name,李四,
only_in_table2,id=4,4,hire_date,,2023-05-01
only_in_table2,id=4,4,department,,市场部
only_in_table2,id=4,4,id,,4
only_in_table2,id=4,4,email,,zhaoliu@company.com
only_in_table2,id=4,4,salary,,11000.00
only_in_table2,id=4,4,is_active,,1
only_in_table2,id=4,4,name,,赵六
